Leetcode Number,Leetcode title (With Link as Hyperlink),Tags,Difficulty,Blind 75 (Yes/No),Notes,Python Solution,Java Solution
143,"=HYPERLINK(""https://leetcode.com/problems/reorder-list/"",""Reorder List"")","Linked List",Medium,Yes,"Split, reverse second half, merge.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p143.py"",""p143.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p143.java"",""p143.java"")"
19,"=HYPERLINK(""https://leetcode.com/problems/remove-nth-node-from-end-of-list/"",""Remove Nth Node From End of List"")","Linked List, Two Pointers",Medium,Yes,"Fast/slow gap.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p19.py"",""p19.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p19.java"",""p19.java"")"
141,"=HYPERLINK(""https://leetcode.com/problems/linked-list-cycle/"",""Linked List Cycle"")","Linked List, Two Pointers",Easy,Yes,"Floyd cycle detection.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p141.py"",""p141.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p141.java"",""p141.java"")"
206,"=HYPERLINK(""https://leetcode.com/problems/reverse-linked-list/"",""Reverse Linked List"")","Linked List",Easy,Yes,"Iterative pointer reversal.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p206.py"",""p206.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p206.java"",""p206.java"")"
142,"=HYPERLINK(""https://leetcode.com/problems/linked-list-cycle-ii/"",""Linked List Cycle II"")","Linked List, Two Pointers",Medium,Yes,"Find cycle entry after detection.","",
146,"=HYPERLINK(""https://leetcode.com/problems/lru-cache/"",""LRU Cache"")","Design, HashMap, Doubly Linked List",Medium,Yes,"Map + DLL for O(1).","",
155,"=HYPERLINK(""https://leetcode.com/problems/min-stack/"",""Min Stack"")","Stack, Design",Easy,Yes,"Track running minimum.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p155.py"",""p155.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p155.java"",""p155.java"")"
20,"=HYPERLINK(""https://leetcode.com/problems/valid-parentheses/"",""Valid Parentheses"")","Stack",Easy,Yes,"Match brackets with a stack.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p20.py"",""p20.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p20.java"",""p20.java"")"
22,"=HYPERLINK(""https://leetcode.com/problems/generate-parentheses/"",""Generate Parentheses"")","Backtracking",Medium,Yes,"Add only valid parentheses.","",
739,"=HYPERLINK(""https://leetcode.com/problems/daily-temperatures/"",""Daily Temperatures"")","Stack, Monotonic Stack",Medium,Yes,"Pop when a warmer day appears.","",
853,"=HYPERLINK(""https://leetcode.com/problems/car-fleet/"",""Car Fleet"")","Stack, Greedy",Medium,Yes,"Sort by position and time.","",
150,"=HYPERLINK(""https://leetcode.com/problems/evaluate-reverse-polish-notation/"",""Evaluate Reverse Polish Notation"")","Stack",Medium,Yes,"Pop two operands per operator.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p150.py"",""p150.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p150.java"",""p150.java"")"
232,"=HYPERLINK(""https://leetcode.com/problems/implement-queue-using-stacks/"",""Implement Queue using Stacks"")","Stack, Design",Easy,Yes,"Two stacks with lazy transfer.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p232.py"",""p232.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p232.java"",""p232.java"")"
225,"=HYPERLINK(""https://leetcode.com/problems/implement-stack-using-queues/"",""Implement Stack using Queues"")","Queue, Design",Easy,Yes,"Rotate queue after push.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p225.py"",""p225.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p225.java"",""p225.java"")"
355,"=HYPERLINK(""https://leetcode.com/problems/design-twitter/"",""Design Twitter"")","Design, Heap, HashMap",Medium,Yes,"Store tweets/follows; heap merge feed.","",
295,"=HYPERLINK(""https://leetcode.com/problems/find-median-from-data-stream/"",""Find Median from Data Stream"")","Heap",Hard,Yes,"Two heaps balanced by size.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p295.py"",""p295.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p295.java"",""p295.java"")"
703,"=HYPERLINK(""https://leetcode.com/problems/kth-largest-element-in-a-stream/"",""Kth Largest Element in a Stream"")","Heap",Easy,Yes,"Keep a size-k min-heap.","",
347,"=HYPERLINK(""https://leetcode.com/problems/top-k-frequent-elements/"",""Top K Frequent Elements"")","Heap, HashMap",Medium,Yes,"Frequency map + top-k heap.","",
973,"=HYPERLINK(""https://leetcode.com/problems/k-closest-points-to-origin/"",""K Closest Points to Origin"")","Heap, Math",Medium,Yes,"Keep k smallest distances.","",
252,"=HYPERLINK(""https://leetcode.com/problems/meeting-rooms/"",""Meeting Rooms"")","Intervals, Sorting",Easy,Yes,"Sort by start and compare ends.","",
253,"=HYPERLINK(""https://leetcode.com/problems/meeting-rooms-ii/"",""Meeting Rooms II"")","Intervals, Heap",Medium,Yes,"Min-heap of end times.","",
435,"=HYPERLINK(""https://leetcode.com/problems/non-overlapping-intervals/"",""Non-overlapping Intervals"")","Intervals, Greedy",Medium,Yes,"Keep earliest-ending intervals.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p435.py"",""p435.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p435.java"",""p435.java"")"
57,"=HYPERLINK(""https://leetcode.com/problems/insert-interval/"",""Insert Interval"")","Intervals",Medium,Yes,"Merge overlaps around new interval.","",
56,"=HYPERLINK(""https://leetcode.com/problems/merge-intervals/"",""Merge Intervals"")","Intervals, Sorting",Medium,Yes,"Sort and merge overlaps.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p56.py"",""p56.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p56.java"",""p56.java"")"
283,"=HYPERLINK(""https://leetcode.com/problems/move-zeroes/"",""Move Zeroes"")","Array, Two Pointers",Easy,Yes,"Compact nonzeros, then fill zeros.","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode/p283.py"",""p283.py"")","=HYPERLINK(""https://github.com/Iamsdt/Problem-Solving/blob/master/LeetCode-Java/p283.java"",""p283.java"")"
